Thread ID: 70192529270480
Fiber ID: 70192531646080
Total: 23.051966
Sort by: self_time

 %self      total      self      wait     child     calls  name
 38.91      8.969     8.969     0.000     0.000 12431783   String#== 
 38.46     17.834     8.865     0.000     8.969     2041   Array#count 
 11.39      2.625     2.625     0.000     0.000   567399   String#split 
  5.04      1.163     1.163     0.000     0.000     4084   Array#flatten 
  4.09      3.993     0.944     0.000     3.049     4087   Array#map 
  1.84      0.424     0.424     0.000     0.000   567398   Array#first 
  0.09      5.184     0.021     0.000     5.163     2042   EmotionClassifier::DataSet#words 
  0.06     23.039     0.013     0.000    23.026        5   Array#each 
  0.03      0.008     0.008     0.000     0.000     2044   Hash#[]= 
  0.02      0.004     0.004     0.000     0.000     4084   Symbol#to_proc 
  0.02      0.006     0.004     0.000     0.002     1105   Array#hash 
  0.01      0.002     0.002     0.000     0.000     2603   Symbol#== 
  0.01      0.002     0.002     0.000     0.000     2044   Hash#key? 
  0.01      0.002     0.002     0.000     0.000        1   Array#uniq 
  0.01      0.001     0.001     0.000     0.000     1102   String#hash 
  0.01      0.007     0.001     0.000     0.006        3   Array#- 
  0.00      0.001     0.001     0.000     0.000     1105   Kernel#hash 
  0.00      0.001     0.001     0.000     0.000        3   Array#select 
  0.00      0.000     0.000     0.000     0.000        1   RSpec::Matchers#eq 
  0.00      0.000     0.000     0.000     0.000        2   <Class::IO>#readlines 
  0.00     23.052     0.000     0.000    23.052        2   BasicObject#instance_eval 
  0.00      0.001     0.000     0.000     0.001        4  *EmotionClassifier::DataSet#with_sentiment 
  0.00      0.000     0.000     0.000     0.000        2   EmotionClassifier::ArrayExtensions#first_percent 
  0.00      0.000     0.000     0.000     0.000        4   IO#write 
  0.00      0.008     0.000     0.000     0.008        7  *Class#new 
  0.00      0.008     0.000     0.000     0.008        1   EmotionClassifier::DataSet#initialize 
  0.00     23.043     0.000     0.000    23.043        1   EmotionClassifier::Classifier#train 
  0.00      0.001     0.000     0.000     0.001        2   EmotionClassifier::DataSet#sentences 
  0.00      0.000     0.000     0.000     0.000        2   Float#ceil 
  0.00      0.000     0.000     0.000     0.000        1   RSpec::Core::Hooks#find_hook 
  0.00      0.000     0.000     0.000     0.000        2   EmotionClassifier::DataSet#make_path 
  0.00      0.000     0.000     0.000     0.000        1   <Class::RSpec::Expectations::PositiveExpectationHandler>#handle_matcher 
  0.00     23.043     0.000     0.000    23.043        1   EmotionClassifier::Classifier#classify 
  0.00     23.052     0.000     0.000    23.052        1   RSpec::Core::Example#run 
  0.00      0.000     0.000     0.000     0.000        2   Hash#inspect 
